     F(Hz)         |Z0|(ohms)    PHASE(Z0)(Deg)      |Z+|(ohms)    PHASE(Z+)(Deg)      |Z-|(ohms)    PHASE(Z-)(Deg)
    0.10000000000000E-05    0.17584576905521E-01     1.0250875259910        0.13413453606297E-01    0.79605446802941        0.13413453606297E-01    0.79605446802941    
     1.0000000000000        0.29414791051961E-01     9.3389902106981        0.59177087663252E-01     17.860875822342        0.59177087663252E-01     17.860875822342    
     2.0000000000000        0.30744732211892E-01     17.313288665938        0.66950673530009E-01     32.722301556092        0.66950673530009E-01     32.722301556092    
     3.0000000000000        0.32429185840300E-01     24.428979411776        0.78208050177769E-01     43.927882579304        0.78208050177769E-01     43.927882579304    
     4.0000000000000        0.34488715420135E-01     30.826194740907        0.91674838172131E-01     52.089547699759        0.91674838172131E-01     52.089547699759    
     5.0000000000000        0.36905898995708E-01     36.494938014675        0.10651645007365         58.073485492141        0.10651645007365         58.073485492141    
     6.0000000000000        0.39633755352447E-01     41.456179456322        0.12223327055794         62.558095576211        0.12223327055794         62.558095576211    
     7.0000000000000        0.42620303470561E-01     45.768234449485        0.13852789604922         66.005022824330        0.13852789604922         66.005022824330    
     8.0000000000000        0.45818406453835E-01     49.507228866475        0.15521864117423         68.718837396544        0.15521864117423         68.718837396544    
     9.0000000000000        0.49188476816639E-01     52.751999903763        0.17219054094018         70.901809780845        0.17219054094018         70.901809780845    
     10.000000000000        0.52698394267140E-01     55.575938159066        0.18936820814544         72.690951446453        0.18936820814544         72.690951446453    
     11.000000000000        0.56322493109416E-01     58.043636745099        0.20670054585137         74.181281563426        0.20670054585137         74.181281563426    
     12.000000000000        0.60040373074464E-01     60.210218472913        0.22415187821212         75.440272923433        0.22415187821212         75.440272923433    
     13.000000000000        0.63835813359025E-01     62.121942990552        0.24169663487356         76.516917052490        0.24169663487356         76.516917052490    
     14.000000000000        0.67695869975657E-01     63.817308245975        0.25931606041964         77.447520927238        0.25931606041964         77.447520927238    
     15.000000000000        0.71610157504170E-01     65.328249880800        0.27699611525742         78.259494494128        0.27699611525742         78.259494494128    
     16.000000000000        0.75570289541910E-01     66.681260137519        0.29472609940186         78.973880073040        0.29472609940186         78.973880073040    
     17.000000000000        0.79569446891608E-01     67.898360504029        0.31249772702190         79.607077189258        0.31249772702190         79.607077189258    
     18.000000000000        0.83602045310694E-01     68.997916888183        0.33030449071272         80.172042511982        0.33030449071272         80.172042511982    
     19.000000000000        0.87663479571715E-01     69.995308750688        0.34814121442432         80.679139492433        0.34814121442432         80.679139492433    
     20.000000000000        0.91749925630457E-01     70.903473040171        0.36600373482374         81.136750918742        0.36600373482374         81.136750918742    
     21.000000000000        0.95858186989487E-01     71.733343600958        0.38388866898934         81.551726856976        0.38388866898934         81.551726856976    
     22.000000000000        0.99985574663402E-01     72.494205578951        0.40179324241186         81.929717042301        0.40179324241186         81.929717042301    
     23.000000000000        0.10412981285113         73.193982010478        0.41971516157342         82.275421343729        0.41971516157342         82.275421343729    
     24.000000000000        0.10828896430554         73.839465279994        0.43765251607678         82.592780064265        0.43765251607678         82.592780064265    
     25.000000000000        0.11246137094283         74.436505280190        0.45560370449258         82.885120762889        0.45560370449258         82.885120762889    
     26.000000000000        0.11664560621352         74.990162170144        0.47356737537841         83.155272028750        0.47356737537841         83.155272028750    
     27.000000000000        0.12084043677880         75.504832043554        0.49154238326095         83.405653599647        0.49154238326095         83.405653599647    
     28.000000000000        0.12504479132530         75.984349292659        0.50952775130767         83.638346938841        0.50952775130767         83.638346938841    
     29.000000000000        0.12925773522029         76.432071942205        0.52752264423211         83.855152579213        0.52752264423211         83.855152579213    
     30.000000000000        0.13347844962341         76.850951267020        0.54552634327404         84.057635197146        0.54552634327404         84.057635197146    
     31.000000000000        0.13770621435786         77.243591072593        0.56353822998110         84.247161642992        0.56353822998110         84.247161642992    
     32.000000000000        0.14194039357294         77.612295852068        0.58155776879560         84.424930471161        0.58155776879560         84.424930471161    
     33.000000000000        0.14618042392489         77.959112204558        0.59958449578615         84.591997346983        0.59958449578615         84.591997346983    
     34.000000000000        0.15042580458562         78.285863228876        0.61761800782998         84.749295557868        0.61761800782998         84.749295557868    
     35.000000000000        0.15467608888287         78.594177844394        0.63565795422996         84.897653261123        0.63565795422996         84.897653261123    
     36.000000000000        0.15893087720263         78.885515473354        0.65370402908250         85.037807626955        0.65370402908250         85.037807626955    
     37.000000000000        0.16318981102824         79.161187544942        0.67175596626918         85.170417392905        0.67175596626918         85.170417392905    
     38.000000000000        0.16745256778616         79.422375363156        0.68981353357903         85.296072710407        0.68981353357903         85.296072710407    
     39.000000000000        0.17171885644821         79.670145534018        0.70787652800565         85.415303726436        0.70787652800565         85.415303726436    
     40.000000000000        0.17598841381081         79.905463595549        0.72594477278898         85.528588135818        0.72594477278898         85.528588135818    
     41.000000000000        0.18026100127876         80.129205729973        0.74401811462723         85.636357750646        0.74401811462723         85.636357750646    
     42.000000000000        0.18453640196689         80.342168245213        0.76209641932067         85.739003236407        0.76209641932067         85.739003236407    
     43.000000000000        0.18881441845296         80.545077282400        0.78017957230767         85.836879871394        0.78017957230767         85.836879871394    
     44.000000000000        0.19309487046898         80.738595301888        0.79826747333543         85.930310389422        0.79826747333543         85.930310389422    
     45.000000000000        0.19737759309631         80.923328316748        0.81636003633743         86.019589084339        0.81636003633743         86.019589084339    
     46.000000000000        0.20166243535130         81.099832070649        0.83445718898048         86.104985260227        0.83445718898048         86.104985260227    
     47.000000000000        0.20594925843282         81.268616334899        0.85255886875171         86.186744945838        0.85255886875171         86.186744945838    
